RUNID	BATCHSETID	MPL	NUMEXECXACTS	PT	TPS
611	143	300	300	26832741.67	2.5
611	143	400	399.67	31675438.33	3.33
611	143	500	2918	33677288.33	24.32
611	143	600	3639.33	46705985	30.33
611	143	700	2638.67	58542023	21.99
611	143	800	1174.33	70319030	9.79
611	143	900	1022.33	78887173.33	8.52
611	143	1000	1094.67	93325603.33	9.12
611	161	100	221.67	10940017.33	1.85
611	161	200	273	19944679.67	2.28
611	161	300	300	26702635	2.5
611	161	400	400	31884301	3.33
611	161	500	2829	34986315.33	23.58
611	161	600	3594	46912726	29.95
611	161	700	2338.67	58662383	19.49
611	161	800	1114.33	70373637.67	9.29
611	161	900	1069	81915771	8.91
611	161	1000	1123.33	93662198.67	9.36
611	162	100	199	7606574.67	1.66
611	162	200	271	19700910.67	2.26
611	162	300	300	26750347.67	2.5
611	162	400	371.33	28595898.33	3.09
611	162	500	2796.67	34855285.33	23.31
611	162	600	2423	44691778.67	20.19
611	162	700	1631.33	56078457.67	13.59
611	162	800	1118.67	69633244	9.32
611	162	900	1062.33	80875559	8.85
611	162	1000	1082.33	89592742.67	9.02
611	181	100	238	10919477	1.98
611	181	200	239.33	16725783	1.99
611	181	300	300	26749171.67	2.5
611	181	400	400	31782203	3.33
611	181	500	2679.67	31345873.67	22.33
611	181	600	3543.33	45672268.67	29.53
611	181	700	2730.67	58905779.67	22.76
611	181	800	1179.67	69143391.67	9.83
611	181	900	1052.67	80569107.67	8.77
611	181	1000	1114	94029710.67	9.28
611	182	100	222	9623679	1.85
611	182	200	292	19891843.33	2.43
611	182	300	300	26875118	2.5
611	182	400	400	31709762.67	3.33
611	182	500	2820.33	34893537.67	23.5
611	182	600	3764.67	46601545	31.37
611	182	700	2134.67	58485402.67	17.79
611	182	800	1280	69657765.33	10.67
611	182	900	1101.33	81691108.33	9.18
611	182	1000	1133.67	93683369.33	9.45
611	201	100	248.67	10946413.67	2.07
611	201	200	279	19901451.33	2.33
611	201	300	300	26789532.33	2.5
611	201	400	400	31709694	3.33
611	201	500	2699	39910052	22.49
611	201	600	3704.33	45808868.33	30.87
611	201	700	2353.67	57313873	19.61
611	201	800	1021.67	74452700.67	8.51
611	201	900	1097	80521022.33	9.14
611	201	1000	1177	90112511.33	9.81
611	221	100	236	10926943.33	1.97
611	221	200	264.33	19662759	2.2
611	221	300	263	22663708.33	2.19
611	221	400	361	27592000.67	3.01
611	221	500	2816.33	34832650.33	23.47
611	221	600	3483.33	45883595.33	29.03
611	221	700	2010.33	56419456	16.75
611	221	800	1108	70558138.67	9.23
611	221	900	1065.33	81578123.67	8.88
611	221	1000	939	78595667	7.83
611	222	100	627.67	9634583.33	5.23
611	222	200	307.33	16642774.67	2.56
611	222	300	1453.67	26527016.33	12.11
611	222	400	1318	31707011.33	10.98
611	222	500	3445	14626619.33	28.71
611	222	600	4358	22519563.33	36.32
611	222	700	5269	40508328.67	43.91
