DBMS	EXPERIMENTNAME	RUNID	BATCHSETID	PK	NUMPROCESSORS	ACTROWPOOL	PCTREAD	PCTUPDATE	ROUND(ATP,3)	MAXMPL
mysql	pk-xt-1M-1000-120-1	1290	7366	1	1	.5	0	50	10926.108	1100
mysql	pk-xt-1M-1000-120-1	1290	7406	1	1	.75	0	50	11865.979	1100
mysql	pk-xt-1M-1000-120-1	1290	7427	1	1	1	0	50	69304.326	700
mysql	pk-xt-1M-1000-120-1	1290	7467	1	1	.25	0	75	25584.665	1100
mysql	pk-xt-1M-1000-120-1	1290	7506	1	1	.5	0	75	8924.455	1100
mysql	pk-xt-1M-1000-120-1	1290	7546	1	1	.75	0	75	48318.673	800
mysql	pk-xt-1M-1000-120-1	1290	7587	1	1	1	0	75	67203.699	1100
mysql	pk-xt-1M-1000-120-1	1290	7627	1	1	.25	0	100	26379.085	1100
mysql	pk-xt-1M-1000-120-1	1290	7666	1	1	.5	0	100	6936.433	1100
mysql	pk-xt-1M-1000-120-1	1290	7686	1	1	.75	0	100	14333.137	800
mysql	pk-xt-1M-1000-120-1	1290	7706	1	1	1	0	100	69656.873	1100
mysql	pk-xt-1M-1000-120-1	1290	7726	1	1	.25	.01	0	254.699	1100
mysql	pk-xt-1M-1000-120-1	1290	7747	1	1	.5	.01	0	251.807	1100
mysql	pk-xt-1M-1000-120-1	1290	7766	1	1	.75	.01	0	253.129	1100
mysql	pk-xt-1M-1000-120-1	1290	7786	1	1	1	.01	0	251.334	1100
mysql	pk-xt-1M-1000-120-1	1290	8126	1	1	.25	.1	0	554.804	1100
mysql	pk-xt-1M-1000-120-1	1290	8146	1	1	.5	.1	0	551.544	1100
mysql	pk-xt-1M-1000-120-1	1290	8166	1	1	.75	.1	0	577.494	1100
mysql	pk-xt-1M-1000-120-1	1290	8186	1	1	1	.1	0	587.92	1100
mysql	pk-xt-1M-1000-120-1	1290	8526	1	1	.25	1	0	4717.359	1100
mysql	pk-xt-1M-1000-120-1	1290	8547	1	1	.5	1	0	4778.493	1100
mysql	pk-xt-1M-1000-120-1	1290	8567	1	1	.75	1	0	5354.35	1100
mysql	pk-xt-1M-1000-120-1	1290	8586	1	1	1	1	0	6423.7	1100
mysql	pk-xt-1M-1000-120-2	1471	9266	1	2	.25	0	25	5956.277	1100
mysql	pk-xt-1M-1000-120-2	1471	9305	1	2	.5	0	25	22580.968	100
mysql	pk-xt-1M-1000-120-2	1471	9306	1	2	.75	0	25	29183.217	100
mysql	pk-xt-1M-1000-120-2	1471	9308	1	2	1	0	25	22468.094	100
mysql	pk-xt-1M-1000-120-2	1471	9310	1	2	.25	0	50	15172.187	1100
mysql	pk-xt-1M-1000-120-2	1471	9312	1	2	.5	0	50	10598.156	800
mysql	pk-xt-1M-1000-120-2	1471	9313	1	2	.75	0	50	30661.82	1100
mysql	pk-xt-1M-1000-120-2	1471	9315	1	2	1	0	50	47427.149	100
mysql	pk-xt-1M-1000-120-2	1471	9317	1	2	.25	0	75	11615.497	1100
mysql	pk-xt-1M-1000-120-2	1471	9319	1	2	.5	0	75	1241.53	700
mysql	pk-xt-1M-1000-120-2	1471	9321	1	2	.75	0	75	33717.327	800
mysql	pk-xt-1M-1000-120-2	1471	9323	1	2	1	0	75	69525.168	1100
mysql	pk-xt-1M-1000-120-2	1471	9329	1	2	.25	0	100	9779.615	1100
mysql	pk-xt-1M-1000-120-2	1471	9334	1	2	.5	0	100	10792.309	800
mysql	pk-xt-1M-1000-120-2	1471	9337	1	2	.75	0	100	33350.681	600
mysql	pk-xt-1M-1000-120-2	1471	9340	1	2	1	0	100	70946.776	1100
mysql	pk-xt-1M-1000-120-2	1471	9341	1	2	.25	.01	0	94.657	1100
mysql	pk-xt-1M-1000-120-2	1471	9434	1	2	.5	.01	0	64.678	1100
mysql	pk-xt-1M-1000-120-2	1471	9436	1	2	.75	.01	0	71.978	500
mysql	pk-xt-1M-1000-120-2	1471	9439	1	2	1	.01	0	95.839	1100
mysql	pk-xt-1M-1000-120-2	1471	9441	1	2	.25	.1	0	263.096	800
mysql	pk-xt-1M-1000-120-2	1471	9443	1	2	.5	.1	0	262.102	1100
mysql	pk-xt-1M-1000-120-2	1471	9445	1	2	.75	.1	0	358.803	1100
mysql	pk-xt-1M-1000-120-2	1471	9447	1	2	1	.1	0	357.779	800
mysql	pk-xt-1M-1000-120-2	1471	9448	1	2	.25	1	0	3124.658	1100
mysql	pk-xt-1M-1000-120-2	1471	9450	1	2	.5	1	0	3837.945	700
mysql	pk-xt-1M-1000-120-2	1471	9452	1	2	.75	1	0	5813.102	1100
mysql	pk-xt-1M-1000-120-2	1471	9454	1	2	1	1	0	6289.336	300
mysql	pk-xt-1M-1000-120-4	1473	8686	1	4	.25	0	25	17642.679	1100
mysql	pk-xt-1M-1000-120-4	1473	8766	1	4	.5	0	25	5322.282	700
mysql	pk-xt-1M-1000-120-4	1473	8806	1	4	.75	0	25	39883.41	200
mysql	pk-xt-1M-1000-120-4	1473	9413	1	4	1	0	25	22459.375	100
mysql	pk-xt-1M-1000-120-4	1473	9415	1	4	.25	0	50	11087.77	700
mysql	pk-xt-1M-1000-120-4	1473	9417	1	4	.5	0	50	12698.522	1100
mysql	pk-xt-1M-1000-120-4	1473	9418	1	4	.75	0	50	55511.859	100
mysql	pk-xt-1M-1000-120-4	1473	9420	1	4	1	0	50	48234.153	100
mysql	pk-xt-1M-1000-120-4	1473	9422	1	4	.25	0	75	12791.256	1100
mysql	pk-xt-1M-1000-120-4	1473	9424	1	4	.5	0	75	4805.535	1100
mysql	pk-xt-1M-1000-120-4	1473	9426	1	4	.75	0	75	67532.67	800
mysql	pk-xt-1M-1000-120-4	1473	9427	1	4	1	0	75	64418.814	1100
mysql	pk-xt-1M-1000-120-4	1473	9429	1	4	.25	0	100	8169.908	600
mysql	pk-xt-1M-1000-120-4	1473	9431	1	4	.5	0	100	5040.469	1100
mysql	pk-xt-1M-1000-120-4	1473	9433	1	4	.75	0	100	70245.645	1100
mysql	pk-xt-1M-1000-120-4	1473	9435	1	4	1	0	100	65950.099	1100
mysql	pk-xt-1M-1000-120-4	1473	9438	1	4	.25	.01	0	71.152	1100
mysql	pk-xt-1M-1000-120-4	1473	9440	1	4	.5	.01	0	70.477	1100
mysql	pk-xt-1M-1000-120-4	1473	9442	1	4	.75	.01	0	62.524	1100
mysql	pk-xt-1M-1000-120-4	1473	9444	1	4	1	.01	0	62.864	1100
mysql	pk-xt-1M-1000-120-4	1473	9446	1	4	.25	.1	0	205.303	1100
mysql	pk-xt-1M-1000-120-4	1473	9449	1	4	.5	.1	0	205.482	1100
mysql	pk-xt-1M-1000-120-4	1473	9451	1	4	.75	.1	0	200.384	1100
